rank,constellation,main_id,ra,dec,otype,plx_value,pmra,pmdec,rvz_radvel,rvz_type,sp_type,bmag,vmag,constellation_code
13,Leo,*  67 Leo,167.20453298926,24.658493778870003,*,7.3712,3.298,-6.403,-5.6,v,A0IV,5.755,5.698,Leo
14,Leo,*   3 Leo,142.12155855335,8.18830556701,*,7.1461,-26.193,-32.383,17.77,v,K0III,6.753,5.713,Leo
15,Leo,*   8 Leo,144.26075652981,16.43795181621,*,2.9769,-14.459,-3.358,6.41,v,K1III,6.95,5.732,Leo
16,Leo,HD  84542,146.54184663665,6.70855639132,*,3.2175,3.518,-23.591,-1.1,v,M1III,7.43,5.79,Leo
17,Leo,HD 101980,176.05484720032,25.218320946720002,*,2.9405,-13.306,7.75,-0.91,v,K5III,7.59,6.02,Leo
18,Leo,HD  98960,170.82479476328,0.13204547747000003,*,4.1685,-40.109,-9.457,22.5875,v,K3III,7.504,6.029,Leo
19,Leo,*  11 Sex,149.53179337001956,8.313977991235834,*,5.09,16.147,-26.878,-20.22,v,K3III,7.399,6.033,Leo
20,Leo,*  42 Leo,155.45959557043,14.975773044549998,*,6.3776,-32.212,-11.414,8.7,v,A1V,6.16,6.163,Leo
1,Virgo,* tau Vir,210.41163979453543,1.5445306078263885,*,14.3831,17.317,-21.594,-2.49,v,A2IV/V,4.331,4.237,Vir
2,Virgo,* sig Vir,199.4011940336946,5.4698840927341665,*,4.6693,-9.081,12.946,-28.26,v,M1III,6.47,4.8,Vir
3,Virgo,*  49 Vir,196.97422029652998,-10.740408704040002,*,11.1498,16.629,-10.192,-9.55,v,K0.5IIIbFe-0.5,6.281,5.151,Vir
4,Virgo,HD 115478,199.31511643373997,13.675751874000001,*,10.6535,8.168,42.33,-24.39,v,K3III,6.63,5.33,Vir
5,Virgo,* b Vir,179.9871395801,3.6552046169400003,*,10.8636,-18.883,-6.935,-2.5,v,A0V,5.346,5.345,Vir
6,Virgo,HD 124683,213.85035912729165,-18.200690647766663,*,11.8452,-44.042,-11.91,-19.0,v,A0V,5.525,5.532,Vir
7,Virgo,*  83 Vir,206.12427845576,-16.179072836130004,*,3.777,12.522,-6.052,2.13,v,G0II:,6.35,5.567,Vir
8,Virgo,*   6 Vir,178.76305190051,8.44394211856,*,19.2949,-32.519,15.424,-8.72,v,K0III:,6.511,5.569,Vir
9,Virgo,* 108 Vir,221.37585193216,0.71727227856,*,5.8113,-38.907,-8.231,-26.17,v,B9.5V,5.656,5.665,Vir
10,Virgo,HD 114256,197.30181149637997,10.02246777626,*,9.7915,20.916,-0.341,-0.38,v,K0III,6.816,5.782,Vir
11,Virgo,*  65 Vir,200.82872296229996,-4.92442827448,*,4.0566,-19.96,-16.703,9.8,v,K4III,7.304,5.858,Vir
12,Virgo,* f Vir,189.19730917958998,-5.83190054517,*,14.0684,-27.992,-20.279,-7.03,v,A3V,5.94,5.88,Vir
13,Virgo,*  13 Vir,184.66798952646997,-0.78718431864,*,8.6971,33.554,-16.527,-8.81,v,A5IV/V,6.049,5.897,Vir
14,Virgo,*  92 Vir,209.11615310432998,1.05058052801,*,11.3738,-28.395,13.226,-16.73,v,A5IV/V,6.117,5.898,Vir
15,Virgo,HD 132525,224.84631460990997,4.56776059964,*,5.0389,1.679,-5.455,-13.49,v,M2.5III,7.53,5.93,Vir
16,Virgo,*  50 Vir,197.43867172166,-10.32933967666,*,4.8532,-13.517,-9.315,-7.3,v,K4III,7.436,5.943,Vir
17,Virgo,HD 127167,217.4604902235,0.8289308687500001,*,13.3027,13.972,7.936,-9.2,v,A5IV/V,6.12,5.966,Vir
18,Virgo,HD 106976,184.53988528483998,-3.9487807220699995,*,17.4856,-11.234,21.268,-1.11,v,F1VkF2mF3,6.34,5.99,Vir
19,Virgo,*  37 Vir,192.90370679060996,3.0567867280099996,*,6.1908,-35.855,19.519,0.9,v,K2III,7.327,6.003,Vir
20,Virgo,HD 127337,217.68912644864,4.772285793670001,*,4.7639,3.316,-12.74,6.94,v,K4III,7.432,6.007,Vir
1,Libra,* ups Lib,234.25603706873625,-28.135110461468887,*,15.5267,-16.261,11.711,-24.9,v,K3.5III,4.979,3.589,Lib
2,Libra,*  42 Lib,235.0704055109,-23.81808364893,*,8.2082,-16.044,-16.111,-21.8,v,K3-IIICN2,6.29,4.96,Lib
3,Libra,*  36 Lib,233.65549239999,-28.047020260619995,*,9.3849,10.755,-32.18,22.11,v,K2/3III,6.437,5.138,Lib
4,Libra,* nu. Lib,226.65665213046998,-16.256818608409997,*,5.1772,-36.821,-23.247,-15.69,v,K5-III,6.78,5.2,Lib
5,Libra,*  12 Lib,223.58386910138,-24.642204268810005,*,8.1903,-10.786,-28.376,8.8,v,K2/3III,6.612,5.266,Lib
6,Libra,* ksi02 Lib,224.19214600515997,-11.409700030229999,*,4.4918,8.851,9.815,14.6,v,K4III,6.946,5.45,Lib
7,Libra,* zet04 Lib,233.23008856487002,-16.85284478365,*,4.3321,-12.879,-11.282,1.8,v,B3V,5.355,5.499,Lib
8,Libra,HD 135534,229.09587775037,-22.39941430414,*,7.898,-35.031,2.798,-5.3,v,K2III,6.877,5.506,Lib
9,Libra,HD 138413,233.15292103366,-19.670458435149996,*,13.6252,-19.475,-38.831,-32.52,v,A2IV,5.7,5.52,Lib
10,Libra,* zet01 Lib,232.06420082374,-16.71648542046,*,5.0526,16.299,-33.679,-21.4,v,K4.5III,7.161,5.626,Lib
11,Libra,HD 130529,222.32810034521998,-24.251469126499998,*,3.112,-22.596,0.073,-26.3,v,K3III+G,6.972,5.692,Lib
12,Libra,* zet03 Lib,232.66833885525,-16.60946242113,*,6.5635,22.636,-1.766,-1.7,v,K0III,6.858,5.806,Lib
13,Libra,HD 135051,228.47213692450998,-26.193574089600002,*,3.5792,-13.427,-6.286,-28.3,v,G8/K0II,6.998,5.857,Lib
14,Libra,HD 130157,221.80687493926376,-21.324873423929716,*,2.5995,-12.522,1.444,-24.16,v,K4/5III,7.677,6.034,Lib
15,Libra,* omi Lib,230.25578898389,-15.548351532910003,*,17.5623,20.404,29.818,8.82,v,F2V,6.513,6.143,Lib
16,Libra,*  26 Lib,228.64065780017998,-17.76857144771,*,3.9825,-16.223,-15.26,-25.9,v,B9III,6.156,6.172,Lib
17,Libra,HD 138105,232.65104577188998,-20.728552952349997,*,14.2724,5.277,-29.067,-10.9,v,A3V,6.371,6.194,Lib
18,Libra,HD 141853,237.90998054918998,-14.13358612059,*,4.454,-22.361,-7.603,-16.0,v,G8III,7.211,6.207,Lib
19,Libra,HD 140986,236.68926767852997,-6.120356990670001,*,4.5624,-11.687,0.062,-51.86,v,K0III,7.41,6.245,Lib
20,Libra,*  10 Lib,222.96377559740998,-18.35532683924,*,3.0579,-12.774,-2.188,-21.9,v,K0II/III,7.37,6.26,Lib
1,Scorpius,* tet Sco,264.3297077207907,-42.99782799333082,*,10.86,5.54,-3.12,5.18,v,F1III,2.29,1.85,Sco
2,Scorpius,* ups Sco,262.6909880116666,-37.295813475277775,*,5.66,-2.37,-30.09,8.0,v,B2IV,2.48,2.65,Sco
3,Scorpius,* tau Sco,248.97063688749995,-28.2160170875,*,6.88,-9.89,-22.83,-650.47,v,B0V,2.56,2.81,Sco
4,Scorpius,* G Sco,267.4645037403808,-37.04327637830389,*,24.734,41.717,11.975,24.7,v,K2III,4.38,3.21,Sco
5,Scorpius,* H Sco,249.09363126313713,-35.25533141158,*,10.3453,15.17,10.622,-2.1,v,K5III,5.73,4.156,Sco
6,Scorpius,* N Sco,247.84556033467496,-34.704368192821676,*,5.4821,-11.558,-18.39,0.8,v,B2III-IV,4.06,4.23,Sco
7,Scorpius,* b Sco,237.74476859529994,-25.75129407694,*,6.7811,-14.053,-24.937,-3.0,v,B1.5Vn,4.552,4.635,Sco
8,Scorpius,*   2 Sco A,238.40299355906,-25.32713872595,*,7.0318,-16.327,-24.071,,,,4.6,4.71,Sco
9,Scorpius,* i Sco,247.55198028769166,-25.115221268905003,*,7.9402,-4.193,-26.975,0.0,v,B2.5V,4.72,4.79,Sco
10,Scorpius,HD 161840,267.2936550248199,-31.70320628738611,*,5.8527,5.506,-9.468,-13.3,v,B8Ib/II,4.753,4.797,Sco
11,Scorpius,* iot02 Sco,267.54629914228997,-40.09043182076001,*,0.8148,2.686,-2.117,-17.15,v,A2Ib,5.039,4.803,Sco
12,Scorpius,HD 163145,269.1975706169499,-44.34221848895,*,9.3687,-4.058,-24.973,35.6,v,K2III,6.041,4.849,Sco
13,Scorpius,HD 163376,269.4491771177079,-41.71629326855278,*,5.7411,-4.794,-15.33,4.4,v,M0III,6.503,4.863,Sco
14,Scorpius,* psi Sco,242.99997135053002,-10.06414170962,*,22.6379,-1.483,-31.351,-8.65,v,A1V,5.029,4.928,Sco
